#tareas     conpool     sinpool     confixedpool1000    confixedpool600 
1       20.86       23.52           21.03               21.03
100     22.20       23.40           20.84               20.84
200     43.18       21.42           20.77               20.77
300     62.02       21.46           20.94               20.94
400     82.14       22.19           21.12               21.12
500     101.59      22.37           21.14               21.14
600     124.90      25.01           21.37               21.37
700     141.47      21.63           21.33               40.87
800     163.72      21.58           21.61               40.76
900     184.14      22.49           21.52               41.19
1000    201.72      21.67           21.72               40.98
