# puntos    contador_global     contadores_locales      callable
1000000     0.2482381       0.0885922       0.1048504
2000000     0.4248302       0.1217208       0.1150820
3000000     0.6668856       0.1877454       0.1872234
4000000     0.8683110       0.2283084       0.2019462
5000000     1.1347957       0.1822164       0.2744494
6000000     1.2956595       0.2861749       0.3172885
7000000     1.4814793       0.3444914       0.3348698
8000000     1.7568160       0.3308419       0.3674268
9000000     1.9587050       0.4603845       0.4363790
10000000    2.2533156       0.4135037       0.4079440
